Nome: DOM ELISEU
Codigo Estacao: A252
Latitude: -4.28055554
Longitude: -47.56388888
Altitude: 251
Situacao: Operante
Data Inicial: 2018-03-07
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;18;null;null;25,2;6;null;
2018-04-30;24;217,6;982,7;24,9;7,5;1,5;
2018-05-31;14;104,8;983,2;25,2;5,4;1,6;
2018-06-30;3;15,2;984,1;25,6;6,2;1,9;
2018-07-31;4;1;983,9;26;5,8;2;
2018-08-31;5;56;984,3;25,9;4,7;2;
2018-09-30;null;null;981,8;26,8;5,1;2,2;
2018-10-31;5;10,8;981,4;27,3;4,8;2,1;
2018-11-30;11;158,8;980,6;27,2;6,4;2;
2018-12-31;19;166,6;982,6;25,2;5,2;1,7;
2019-01-31;19;196,6;982,9;25,2;6;1,8;
2019-02-28;24;293;982,4;24,9;7,7;1,6;
2019-03-31;26;489,8;983;24,9;7,2;1,6;
2019-04-30;26;347,2;982,6;25,2;5,6;1,4;
2019-05-31;12;121,6;982,3;25,7;6,8;1,6;
2019-06-30;1;4,2;984;26,1;6;2,1;
2019-07-31;7;19,8;984;25,7;6,1;2;
2019-08-31;1;1;984,6;26,3;6;2,1;
2019-09-30;2;,6;982,8;27,2;4,9;2,2;
2019-10-31;8;19,4;981,5;27;6,7;2;
2019-11-30;8;78;980,4;27,1;5;1,8;
2019-12-31;12;116,8;980,7;27;5,3;1,9;
2020-01-31;27;175;982,5;25,4;6,8;1,5;
2020-02-29;null;null;982,6;25,4;5,5;1,5;
2020-03-31;null;null;982,5;25,1;5,6;1,4;
2020-04-30;null;null;983;25,3;6,7;1,5;
2020-05-31;null;null;983,4;26,5;5,1;1,8;
2020-06-30;4;13,6;983,5;26,2;6,4;2,1;
2020-07-31;1;4;983,1;26,3;6,4;2,1;
2020-08-31;0;0;982,9;26,7;6,8;2,2;
2020-09-30;0;0;982,3;27,3;5,7;2,3;
2020-10-31;3;9,4;981,5;27,5;6,7;2;

