Nome: SAPEZAL
Codigo Estacao: A911
Latitude: -13.30388888
Longitude: -58.76333333
Altitude: 105
Situacao: Operante
Data Inicial: 2017-10-19
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;4;null;null;null;null;null;
2017-11-30;20;166,6;947,9;24,3;9,9;2,6;
2017-12-31;28;173,6;948,3;23,6;9,3;2,5;
2018-01-31;26;371,2;949,2;23,5;8,6;2,3;
2018-02-28;23;446,8;948,7;24,2;10,2;3,1;
2018-03-31;21;179,6;949,4;24,3;11,8;2,5;
2018-04-30;17;112,8;950,9;23,7;8,5;2;
2018-05-31;6;44,8;952;22,7;7,5;2,5;
2018-06-30;1;,2;953,5;21;8,6;3;
2018-07-31;0;0;952,9;22,4;8,4;3,1;
2018-08-31;8;88,4;952,5;24;10,7;3,3;
2018-09-30;12;51,8;949,7;24,8;10,7;3,1;
2018-10-31;22;140,8;949,1;25;10,3;2,7;
2018-11-30;24;351,4;948,3;24,1;8,4;2,3;
2018-12-31;23;232,4;950;23,6;7,7;2,5;
2019-01-31;29;369,8;950,9;24;10,8;2,7;
2019-02-28;24;326,8;950;24,2;10,2;3;
2019-03-31;22;326,4;950,4;24,4;9,9;2,6;
2019-04-30;16;130;950,4;24;6,1;2;
2019-05-31;null;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;1;5,8;953,1;24,4;9,3;3,7;
2019-09-30;9;78;950,1;27,1;8,7;3,2;
2019-10-31;20;206;949,7;24,4;9,8;2,8;
2019-11-30;18;296,6;948,4;24,2;7,6;2,3;
2019-12-31;22;326,6;949;23,7;10;2,1;
2020-01-31;25;142,8;949,2;24,9;9,9;3;
2020-02-29;23;336,6;949,8;24,6;9,3;2,9;
2020-03-31;3;null;null;null;7,2;null;
2020-04-30;null;null;null;null;7,8;null;
2020-05-31;null;null;null;null;8,4;null;
2020-06-30;2;5,6;952,1;23,1;7,6;2,1;
2020-07-31;0;0;951,8;23,5;7,9;2,7;
2020-08-31;0;0;951,1;24,8;8,6;3,6;
2020-09-30;5;38,2;949,8;27;12,3;3,2;
2020-10-31;14;98;949;26;14,4;3,3;

