Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2019-02-18
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-02-28;3;null;null;null;null;null;
2019-03-31;12;146,6;937,6;21,2;8,4;3,1;
2019-04-30;12;146;937;20,5;7,3;2,7;
2019-05-31;17;299,6;937,7;17,9;8,8;3,2;
2019-06-30;7;43,2;940,6;18;9,6;3,7;
2019-07-31;12;93,4;940,7;14,4;10;3,3;
2019-08-31;8;28,6;942,1;15,8;10,6;3,9;
2019-09-30;7;56,4;937,8;19,4;11,9;4;
2019-10-31;14;197,4;936,4;21,7;10,7;3,8;
2019-11-30;13;183,2;934,6;22,6;10,8;3,5;
2019-12-31;11;149,6;934,9;22,8;11,6;3,2;
2020-01-31;11;115;934,2;23,6;9,2;3,3;
2020-02-29;12;158,8;936,2;22,6;7,3;3,1;
2020-03-31;5;33,2;937,4;23,4;12,3;2,9;
2020-04-30;5;87,8;939,3;18,8;7,5;3,1;
2020-05-31;10;185,6;939,4;15,6;9,1;3,3;
2020-06-30;19;296;938,4;16,4;16,1;4,2;
2020-07-31;13;166,8;939,2;15;9;3,9;
2020-08-31;6;117,8;939,8;17,3;9,5;3,5;
2020-09-30;5;40,2;937,4;20,5;9,2;3,8;
2020-10-31;6;19,2;935,7;22,1;8,8;3,5;

