Nome: MARILIA
Codigo Estacao: A763
Latitude: -22.23527777
Longitude: -49.965
Altitude: 660
Situacao: Operante
Data Inicial: 2017-05-14
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;4;null;null;20,8;4,3;null;
2017-06-30;4;26,4;943;19;4,9;1,9;
2017-07-31;1;,2;946,4;18,6;5,4;2,2;
2017-08-31;7;98,4;941,5;20;5,5;2,3;
2017-09-30;2;8,8;941,5;24,5;5,3;2,3;
2017-10-31;16;204;937,9;23,2;5,2;2,2;
2017-11-30;15;217,8;936,3;22,7;7,4;2,1;
2017-12-31;17;132,2;936,2;24,2;4,9;1,8;
2018-01-31;21;281,6;937,4;23,7;4,9;1,8;
2018-02-28;10;191,8;937,2;23,4;4,8;1,9;
2018-03-31;15;120;937,2;25,2;4,5;1,6;
2018-04-30;4;8,6;941;23;4,1;1,7;
2018-05-31;3;22;942;21;4,4;1,7;
2018-06-30;3;5,2;942,7;20,9;4,5;1,7;
2018-07-31;2;,6;942,5;21,9;4,3;1,8;
2018-08-31;7;141;942,5;18,7;null;null;
2018-09-30;12;91;938,8;21,5;5,6;null;
2018-10-31;17;298,6;937,7;23;4,5;2;
2018-11-30;12;164;937,3;23,2;6,1;2,3;
2018-12-31;13;94;937,7;25,2;5;1,8;
2019-01-31;17;231,8;939,3;26,1;5,2;1,7;
2019-02-28;18;244,6;937,3;24,4;4,5;1,9;
2019-03-31;16;294,2;939,3;23,9;3,7;null;
2019-04-30;8;53,6;939;23,5;3,9;1,5;
2019-05-31;10;36,4;940,1;21,7;4,8;1,6;
2019-06-30;3;38,4;943,4;21;5;1,8;
2019-07-31;6;27,8;942,8;19,6;4,7;1,9;
2019-08-31;1;null;null;null;5,1;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;7;null;null;null;4,4;null;
2019-11-30;15;115,8;936,6;24,2;5,2;2,1;
2019-12-31;18;236,6;937,1;24,2;4,1;1,8;
2020-01-31;19;125,4;936,4;24,5;4,3;1,7;
2020-02-29;20;453,2;937,8;23,3;3,9;1,8;
2020-03-31;5;45,6;939;23,6;4,5;1,9;
2020-04-30;4;55,2;940,6;21,9;4,4;1,6;
2020-05-31;3;50;941,8;19,4;4,4;1,6;
2020-06-30;9;99;942;20,8;4,6;1,9;
2020-07-31;3;7;941,9;20,7;4,9;1,9;
2020-08-31;7;121,8;942,3;20,2;4,3;null;
2020-09-30;2;7,6;939,8;25,6;null;null;
2020-10-31;9;60,8;937,3;25,1;null;null;

