Nome: RIBEIRA DO AMPARO
Codigo Estacao: A458
Latitude: -11.05861111
Longitude: -38.44416666
Altitude: 182
Situacao: Operante
Data Inicial: 2018-09-19
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-09-30;null;null;null;null;null;null;
2018-10-31;20;56,8;992,2;26,5;8,8;3,2;
2018-11-30;20;142;991,6;26,9;8,6;3,3;
2018-12-31;11;20,6;992,1;26,8;7,7;2,5;
2019-01-31;5;8,2;993;27,1;7,9;2,9;
2019-02-28;5;38,8;990,9;28,4;7,6;2,5;
2019-03-31;14;113;991,5;27,4;7,9;2,2;
2019-04-30;5;5,6;991,7;26,9;6,6;1,8;
2019-05-31;9;19,8;992,5;25,9;6,5;2;
2019-06-30;25;120,8;996,1;23,1;7,7;1,9;
2019-07-31;23;88,2;996,2;22,3;6,7;1,9;
2019-08-31;17;29;997,9;22,5;7,5;2,2;
2019-09-30;7;23,6;995,4;24,1;8,2;2,5;
2019-10-31;7;13,4;993;25,8;7,4;2,9;
2019-11-30;4;6,2;990,8;27,3;7,4;3,1;
2019-12-31;3;9,6;991;27,7;8,5;3,2;
2020-01-31;6;60,4;991,1;27,8;8;2,5;
2020-02-29;9;53,8;991,4;27,9;7,8;2,3;
2020-03-31;15;233,6;991,1;27;7,3;1,8;
2020-04-30;15;111,6;992,4;26,2;6,8;1,7;
2020-05-31;16;100;994,2;24,5;6,5;1,7;
2020-06-30;26;107,8;995,3;23,2;6,6;1,7;
2020-07-31;5;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;

